 vert 50
Flux_37, 1.01928437002868355e+00,1.02731774784238428e+00,1.03266744220331330e+00,1.03475202945096778e+00,1.03499063914804235e+00,1.03637889451447918e+00,1.03565432748805808e+00,1.03309416191833536e+00,1.03478106364554479e+00,1.03355609121015535e+00,1.02776174015892852e+00,1.03552327748796258e+00,1.05677122170395466e+00,1.03895866318950825e+00
Flux_38, 9.22492909597906974e-01,9.28100267264343359e-01,9.31491019311597723e-01,9.33098318757637935e-01,9.33217890729033051e-01,9.34601486825522798e-01,9.34456867699947180e-01,9.30163895905874560e-01,9.29252787428492377e-01,9.30067512177545352e-01,9.33013005258759631e-01,9.28251905302531100e-01,9.20956048726412013e-01,9.36326804485088537e-01
Flux_39, 9.48942802658570783e-01,9.55670570468984515e-01,9.58911380888714526e-01,9.59796550235984092e-01,9.60036979458516515e-01,9.60471023753543873e-01,9.60499792137900155e-01,9.58142018992261146e-01,9.56565227043296162e-01,9.56042662948660582e-01,9.58167044460527584e-01,9.52559501461805347e-01,9.54675606236863650e-01,9.61013163034546092e-01
Flux_40, 1.11464676159737230e+00,1.12126720210629371e+00,1.12512548431568571e+00,1.12599371161652573e+00,1.12782489547275810e+00,1.12595468278789168e+00,1.12768263689375536e+00,1.12883614391846110e+00,1.12319911285350371e+00,1.12273512067841996e+00,1.12578687700678759e+00,1.12138096150088140e+00,1.11686026622151235e+00,1.11370865322046897e+00
Flux_41, 1.05635201731082229e+00,1.06268043866037210e+00,1.06613415439478709e+00,1.06744483866987405e+00,1.06824507676939295e+00,1.06810059774042831e+00,1.06961038634281258e+00,1.06605474558156677e+00,1.06176084949369920e+00,1.06292841751313971e+00,1.06494361277155813e+00,1.05972413408612209e+00,1.04947133416678096e+00,1.05465481645879855e+00
Flux_42, 1.03711823470774500e+00,1.04359599411264448e+00,1.04780868387356985e+00,1.04984686969332763e+00,1.04994580863157738e+00,1.05145861383122674e+00,1.05179380060132921e+00,1.05032116736396475e+00,1.05119869924779685e+00,1.04953538017517056e+00,1.04290710764657213e+00,1.05310343990692612e+00,1.06397949992001717e+00,1.04632703659167192e+00
Flux_43, 9.07104330102024625e-01,9.12980062961240346e-01,9.16039023315612932e-01,9.17046813911309822e-01,9.17494467328589969e-01,9.18372369034381353e-01,9.18096658757767692e-01,9.18748119875229752e-01,9.15988614311438631e-01,9.15336956647761713e-01,9.12187724539087252e-01,9.16277172421614328e-01,9.19653101218850355e-01,9.08432714101537475e-01
Flux_44, 1.12827153517431289e+00,1.13454968785177535e+00,1.13842887915634394e+00,1.14043217528725260e+00,1.14150583553564711e+00,1.14347444190200220e+00,1.14299727035791343e+00,1.13895780789660983e+00,1.13624138722368606e+00,1.13684468603158795e+00,1.13774133366681829e+00,1.12896611681587511e+00,1.11980897294039772e+00,1.13191485642372358e+00
Flux_45, 9.54790036929228703e-01,9.60781675758933140e-01,9.63610439770837490e-01,9.64576166252994582e-01,9.65441327912271996e-01,9.65736501511213929e-01,9.66275662235674515e-01,9.64348901636411293e-01,9.57939674235976812e-01,9.58251771986360912e-01,9.65619245436598272e-01,9.56490043019102898e-01,9.31119518546600911e-01,9.50510633745955125e-01
Flux_46, 9.85288503948884120e-01,9.93157544355769528e-01,9.96686554540541003e-01,9.97202217672026991e-01,9.98570891145346806e-01,9.99328183184692964e-01,9.99092190684184867e-01,9.98514697626101899e-01,9.96766780384804485e-01,9.94787596740736357e-01,9.93728524382124889e-01,9.94850328552349006e-01,9.85476637971346214e-01,9.88435658919286753e-01
