 vert 50
Flux_79, 0.9366,0.9368,0.9369,0.9358,0.9396,0.9529,0.9659,0.9901,0.9915
Flux_80, 1.0424,1.0426,1.0427,1.0411,1.0451,1.0600,1.0746,1.1023,1.1056
Flux_81, 1.0968,1.0968,1.0972,1.0951,1.0992,1.1149,1.1302,1.1603,1.1660
Flux_82, 0.9871,0.9872,0.9873,0.9862,0.9900,1.0041,1.0178,1.0434,1.0457
Flux_83, 0.9336,0.9339,0.9340,0.9329,0.9366,0.9500,0.9629,0.9871,0.9890
Flux_84, 1.0645,1.0647,1.0648,1.0641,1.0685,1.0837,1.0982,1.1255,1.1253
Flux_85, 0.9572,0.9576,0.9576,0.9568,0.9607,0.9744,0.9876,1.0119,1.0116
Flux_86, 0.9001,0.9002,0.9005,0.8989,0.9024,0.9153,0.9280,0.9533,0.9594
Flux_87, 0.9803,0.9806,0.9808,0.9788,0.9824,0.9965,1.0103,1.0371,1.0421
Flux_88, 0.8852,0.8852,0.8854,0.8844,0.8879,0.9006,0.9129,0.9358,0.9378
Flux_89, 1.1416,1.1419,1.1420,1.1407,1.1451,1.1613,1.1773,1.2080,1.2103
Flux_90, 0.8892,0.8894,0.8894,0.8885,0.8921,0.9048,0.9171,0.9399,0.9403
Flux_91, 1.0835,1.0838,1.0837,1.0833,1.0878,1.1032,1.1180,1.1452,1.1438
Flux_92, 0.9542,0.9546,0.9548,0.9528,0.9563,0.9703,0.9839,1.0110,1.0177
Flux_93, 1.0743,1.0744,1.0746,1.0731,1.0773,1.0928,1.1078,1.1366,1.1415
Flux_94, 1.0090,1.0093,1.0091,1.0085,1.0127,1.0271,1.0410,1.0664,1.0647
Flux_95, 0.9924,0.9927,0.9928,0.9916,0.9955,1.0097,1.0235,1.0495,1.0517
Flux_96, 1.0487,1.0490,1.0491,1.0481,1.0523,1.0673,1.0819,1.1097,1.1116
Flux_97, 1.0360,1.0362,1.0360,1.0360,1.0404,1.0550,1.0691,1.0939,1.0901
Flux_98, 0.9905,0.9909,0.9911,0.9895,0.9933,1.0075,1.0214,1.0484,1.0517
Flux_99, 0.9094,0.9097,0.9100,0.9082,0.9116,0.9246,0.9374,0.9625,0.9671
Flux_100, 1.0663,1.0667,1.0664,1.0656,1.0699,1.0849,1.0996,1.1259,1.1243
Flux_101, 1.0271,1.0275,1.0278,1.0259,1.0298,1.0445,1.0589,1.0876,1.0925
Flux_102, 1.0342,1.0345,1.0348,1.0328,1.0367,1.0517,1.0663,1.0953,1.1016
Flux_103, 1.0107,1.0110,1.0113,1.0095,1.0134,1.0279,1.0423,1.0701,1.0748
Flux_104, 0.9627,0.9630,0.9629,0.9623,0.9663,0.9799,0.9931,1.0172,1.0162
Flux_105, 1.0275,1.0277,1.0279,1.0262,1.0301,1.0448,1.0592,1.0868,1.0908
Flux_106, 1.0977,1.0979,1.0980,1.0968,1.1011,1.1169,1.1322,1.1611,1.1633
Flux_107, 1.0202,1.0205,1.0207,1.0191,1.0231,1.0379,1.0524,1.0806,1.0857
Flux_108, 0.9899,0.9901,0.9900,0.9898,0.9940,1.0080,1.0216,1.0453,1.0425
Flux_109, 0.9372,0.9374,0.9375,0.9368,0.9407,0.9541,0.9671,0.9911,0.9916
Flux_110, 0.9046,0.9048,0.9049,0.9037,0.9072,0.9201,0.9326,0.9567,0.9582
Flux_111, 0.9154,0.9156,0.9154,0.9155,0.9195,0.9323,0.9446,0.9662,0.9609
Flux_112, 0.9806,0.9807,0.9809,0.9801,0.9841,0.9981,1.0117,1.0369,1.0383
Flux_113, 1.0962,1.0965,1.0964,1.0954,1.0997,1.1153,1.1304,1.1579,1.1578
Flux_114, 0.8943,0.8945,0.8946,0.8934,0.8968,0.9098,0.9223,0.9463,0.9502
Flux_115, 0.9776,0.9780,0.9781,0.9767,0.9805,0.9945,1.0082,1.0343,1.0372
Flux_116, 0.9355,0.9357,0.9358,0.9346,0.9383,0.9517,0.9646,0.9891,0.9915
Flux_117, 0.9501,0.9503,0.9504,0.9492,0.9529,0.9666,0.9798,1.0051,1.0081
Flux_118, 0.9237,0.9239,0.9242,0.9225,0.9261,0.9394,0.9525,0.9783,0.9833
Flux_119, 0.9981,0.9985,0.9983,0.9981,1.0023,1.0163,1.0298,1.0539,1.0496
Flux_120, 0.9173,0.9175,0.9175,0.9167,0.9203,0.9333,0.9458,0.9690,0.9685
Flux_121, 1.0221,1.0223,1.0226,1.0206,1.0245,1.0393,1.0537,1.0823,1.0885
Flux_122, 0.9599,0.9602,0.9605,0.9582,0.9617,0.9755,0.9891,1.0164,1.0238
Flux_123, 1.0303,1.0304,1.0305,1.0296,1.0337,1.0484,1.0625,1.0890,1.0905
Flux_124, 0.9629,0.9632,0.9632,0.9621,0.9659,0.9796,0.9930,1.0178,1.0187
Flux_125, 0.9628,0.9632,0.9633,0.9618,0.9655,0.9793,0.9928,1.0189,1.0219
Flux_126, 0.9963,0.9966,0.9966,0.9960,1.0002,1.0145,1.0282,1.0541,1.0540
Flux_127, 0.9469,0.9472,0.9471,0.9463,0.9501,0.9636,0.9768,1.0011,1.0013
Flux_128, 0.9243,0.9245,0.9247,0.9232,0.9267,0.9399,0.9528,0.9779,0.9815
Flux_129, 0.9966,0.9969,0.9970,0.9954,0.9991,1.0135,1.0276,1.0552,1.0604
Flux_130, 1.0767,1.0770,1.0773,1.0752,1.0792,1.0948,1.1101,1.1404,1.1474
Flux_131, 1.0400,1.0401,1.0405,1.0387,1.0427,1.0576,1.0721,1.1007,1.1058
