Index,Type,Name,Data CCQE,MC CCQE,MC Truth
177,Int_t,FittedMichel_all_muontrajectory_ParentPDG,1,1,0
178,Int_t,FittedMichel_all_muontrajectory_pdg_sz,1,1,0
179,Int_t,FittedMichel_all_muontrajectory_pdg,1,1,0
180,Int_t,FittedMichel_all_muontrajectory_trackID_sz,1,1,0
181,Int_t,FittedMichel_all_muontrajectory_trackID,1,1,0
182,Int_t,FittedMichel_all_othertrajectory_ParentID_sz,1,1,0
183,Int_t,FittedMichel_all_othertrajectory_ParentID,1,1,0
184,Int_t,FittedMichel_all_othertrajectory_ParentPDG_sz,1,1,0
185,Int_t,FittedMichel_all_othertrajectory_ParentPDG,1,1,0
186,Int_t,FittedMichel_all_othertrajectory_pdg_sz,1,1,0
187,Int_t,FittedMichel_all_othertrajectory_pdg,1,1,0
188,Int_t,FittedMichel_all_othertrajectory_trackID_sz,1,1,0
189,Int_t,FittedMichel_all_othertrajectory_trackID,1,1,0
190,Int_t,FittedMichel_all_piontrajectory_ParentID_sz,1,1,0
191,Int_t,FittedMichel_all_piontrajectory_ParentID,1,1,0
192,Int_t,FittedMichel_all_piontrajectory_ParentPDG_sz,1,1,0
193,Int_t,FittedMichel_all_piontrajectory_ParentPDG,1,1,0
194,Int_t,FittedMichel_all_piontrajectory_pdg_sz,1,1,0
195,Int_t,FittedMichel_all_piontrajectory_pdg,1,1,0
196,Int_t,FittedMichel_all_piontrajectory_trackID_sz,1,1,0
197,Int_t,FittedMichel_all_piontrajectory_trackID,1,1,0
198,Int_t,FittedMichel_closestclusterU_endpoint_sz,1,1,0
199,Int_t,FittedMichel_closestclusterU_endpoint,1,1,0
200,Int_t,FittedMichel_closestclusterU_nclusz_sz,1,1,0
201,Int_t,FittedMichel_closestclusterU_nclusz,1,1,0
202,Int_t,FittedMichel_closestclusterV_endpoint_sz,1,1,0
203,Int_t,FittedMichel_closestclusterV_endpoint,1,1,0
204,Int_t,FittedMichel_closestclusterV_nclusz_sz,1,1,0
205,Int_t,FittedMichel_closestclusterV_nclusz,1,1,0
